genome_id,prediction_NNM,prediction_gRodon_clade,prediction_gRodon_pkg,prediction_phylopred,prediction_Phydon,prediction_xTrimoPhylo_MLP,k_clade,kk,phy_distance,label,cv_0,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9
GCA_000705615.1,0.383868949,0.484632016,0.484481149,0.350929612,0.381776676,0.28294903,10,1,4.06332724559989,0.393358,test,train,train,train,train,train,train,train,train,train
GCA_001048675.1,0.341045279,1.518293336,1.517729758,0.350929612,1.020596314,0.329298913,10,1,4.06332724559989,2.772588722,test,train,train,train,train,train,train,train,train,train
GCA_001312085.1,0.383868949,0.127137433,0.127253016,0.350929612,0.28960736,0.221913755,10,1,4.06332724559989,0.028881133,test,train,train,train,train,train,train,train,train,train
GCA_001373375.1,0.350853375,0.064587102,0.064626697,0.267527644,0.206342513,0.174412221,10,5,4.057080848,0.013127788,train,train,train,train,test,train,train,train,train,train
GCA_001411745.2,0.380958397,0.330070164,0.33029028,0.350929612,0.268170833,0.543101907,10,1,4.06332724559989,0.277258872,test,train,train,train,train,train,train,train,train,train
GCA_001422935.1,0.383868949,0.276589117,0.276484715,0.350929612,0.284535722,0.382287145,10,1,4.06332724559989,0.165035043,test,train,train,train,train,train,train,train,train,train
GCA_001508055.1,0.061630869,0.061809549,0.061822455,0.341808957,0.187478732,0.478603721,10,3,4.014557272,0.521163294,train,train,test,train,train,train,train,train,train,train
GCA_001508775.1,0.383868949,0.153101403,0.153076827,0.350929612,0.378266264,0.587564409,10,1,4.06332724559989,0.300063715,test,train,train,train,train,train,train,train,train,train
GCA_001508875.1,0.061630869,0.104124542,0.104123056,0.341808957,0.384380145,0.486596853,10,3,4.014557272,0.787667251,train,train,test,train,train,train,train,train,train,train
GCA_001508915.1,0.383868949,0.146839676,0.146962192,0.350929612,0.369756923,0.587754071,10,1,4.06332724559989,0.300063715,test,train,train,train,train,train,train,train,train,train
GCA_001584565.1,0.251498578,0.258890782,0.25868527,0.267527644,0.390044367,0.640101194,10,5,4.057080848,1.034548031,train,train,train,train,test,train,train,train,train,train
GCA_001610955.1,0.251498578,0.191699015,0.191826861,0.267527644,0.389831606,0.529831231,10,5,4.057080848,2.475525645,train,train,train,train,test,train,train,train,train,train
GCA_001624615.1,0.251498578,0.154896952,0.154879381,0.267527644,0.367424577,0.514608622,10,5,4.057080848,2.888113252,train,train,train,train,test,train,train,train,train,train
GCA_001809595.1,0.380958397,0.616816974,0.616514436,0.350929612,0.367364427,0.580462754,10,1,4.06332724559989,1.299650964,test,train,train,train,train,train,train,train,train,train
GCA_001974725.1,0.251498578,1.741487216,1.742013522,0.267527644,0.78400529,-0.028591562,10,5,4.057080848,1.223200907,train,train,train,train,test,train,train,train,train,train
GCA_002029295.1,0.251498578,0.369444195,0.369068303,0.267527644,0.441115993,0.636880994,10,5,4.057080848,2.166084939,train,train,train,train,test,train,train,train,train,train
GCA_002067825.1,0.383868949,0.07341385,0.073414943,0.350929612,0.144843498,0.237962127,10,1,4.06332724559989,0.025672118,test,train,train,train,train,train,train,train,train,train
GCA_002083775.1,0.383868949,0.074285618,0.074169085,0.350929612,0.123190176,0.12155363,10,1,4.06332724559989,0.030535118,test,train,train,train,train,train,train,train,train,train
GCA_002148365.1,0.251498578,0.062626939,0.062621144,0.267527644,0.175833126,0.082518399,10,5,4.057080848,0.138629436,train,train,train,train,test,train,train,train,train,train
GCA_002163005.1,0.383868949,0.496875445,0.49670167,0.350929612,0.264662858,0.412540436,10,1,4.06332724559989,0.234171345,test,train,train,train,train,train,train,train,train,train
GCA_002280275.1,0.383868949,0.334880479,0.334821361,0.350929612,0.319374085,0.225714505,10,1,4.06332724559989,0.488131817,test,train,train,train,train,train,train,train,train,train
GCA_002306665.1,0.380958397,0.120649444,0.120774181,0.350929612,0.194488465,0.124320112,10,1,4.06332724559989,0.11552453,test,train,train,train,train,train,train,train,train,train
GCA_002364075.1,0.380958397,0.054246042,0.05421693,0.350929612,0.113202217,0.187491149,10,1,4.06332724559989,0.124891384,test,train,train,train,train,train,train,train,train,train
GCA_002365895.1,0.380958397,0.083396558,0.083449373,0.350929612,0.139104289,0.183467969,10,1,4.06332724559989,0.124891384,test,train,train,train,train,train,train,train,train,train
GCA_002380345.1,0.380958397,0.184094138,0.184259445,0.350929612,0.186945467,0.632957935,10,1,4.06332724559989,0.277258872,test,train,train,train,train,train,train,train,train,train
GCA_002419525.1,0.383868949,0.070703302,0.070748796,0.350929612,0.14223033,0.232184216,10,1,4.06332724559989,0.025672118,test,train,train,train,train,train,train,train,train,train
GCA_002421545.1,0.081897444,0.122486796,0.122544275,0.341808957,0.349714978,0.470706344,10,3,4.014557272,0.232599725,train,train,test,train,train,train,train,train,train,train
GCA_002471555.1,0.380958397,0.151253822,0.151299234,0.350929612,0.221234991,0.092134781,10,1,4.06332724559989,0.11552453,test,train,train,train,train,train,train,train,train,train
GCA_002482655.1,0.383868949,0.073114821,0.07314148,0.350929612,0.128789643,0.187704906,10,1,4.06332724559989,0.11552453,test,train,train,train,train,train,train,train,train,train
GCA_002600545.1,0.081897444,0.138494546,0.138504782,0.341808957,0.357534694,0.492236495,10,3,4.014557272,0.396084103,train,train,test,train,train,train,train,train,train,train
GCA_002685075.1,0.409685212,0.287280975,0.287374453,0.354442299,0.178027016,0.758203268,10,6,4.172196966,0.155414166,train,train,train,train,train,test,train,train,train,train
GCA_002711645.1,0.380958397,0.101356636,0.101402537,0.350929612,0.177227114,0.130585864,10,1,4.06332724559989,0.11552453,test,train,train,train,train,train,train,train,train,train
GCA_002726835.1,0.380958397,0.083977161,0.083944579,0.350929612,0.140385822,0.184571341,10,1,4.06332724559989,0.124891384,test,train,train,train,train,train,train,train,train,train
GCA_002748665.1,0.061630869,0.074125767,0.07413101,0.341808957,0.168941856,0.432796806,10,3,4.014557272,0.393833625,train,train,test,train,train,train,train,train,train,train
GCA_002849345.1,0.383868949,0.092024911,0.091985453,0.350929612,0.165956426,-0.180477336,10,1,4.06332724559989,0.032090147,test,train,train,train,train,train,train,train,train,train
GCA_002877955.1,0.081897444,0.118980358,0.118982968,0.341808957,0.302193155,0.499127448,10,3,4.014557272,0.051268283,train,train,test,train,train,train,train,train,train,train
GCA_002878095.1,0.061630869,0.159689797,0.159715012,0.341808957,0.302695078,0.471180826,10,3,4.014557272,0.049510513,train,train,test,train,train,train,train,train,train,train
GCA_002898755.1,0.383868949,0.090095506,0.0900542,0.350929612,0.288291252,0.351576179,10,1,4.06332724559989,0.364814306,test,train,train,train,train,train,train,train,train,train
GCA_002923295.1,0.383868949,0.139683903,0.139646059,0.350929612,0.312329337,0.218046904,10,1,4.06332724559989,0.077881706,test,train,train,train,train,train,train,train,train,train
GCA_002952255.1,0.409685212,0.136456157,0.136561889,0.354442299,0.174271486,0.764034271,10,6,4.172196966,0.290019741,train,train,train,train,train,test,train,train,train,train
GCA_003023695.1,0.251498578,0.036300872,0.036299171,0.267527644,0.099942199,0.071265437,10,5,4.057080848,0.223595865,train,train,train,train,test,train,train,train,train,train
GCA_003129525.1,0.350853375,0.262751224,0.263063942,0.267527644,0.27502101,0.536450863,10,5,4.057080848,0.22142,train,train,train,train,test,train,train,train,train,train
GCA_003150745.1,0.350853375,0.888242499,0.888422431,0.267527644,0.657313852,0.323934436,10,5,4.057080848,0.693147181,train,train,train,train,test,train,train,train,train,train
GCA_003214755.1,0.383430404,0.266835109,0.266954431,0.34389792,0.213011748,0.730405867,10,4,4.014557272,0.041258761,train,train,train,test,train,train,train,train,train,train
GCA_003240635.1,0.383868949,0.218516363,0.218492996,0.350929612,0.244410624,0.428414702,10,1,4.06332724559989,0.330070086,test,train,train,train,train,train,train,train,train,train
GCA_003240735.1,0.383868949,0.218516363,0.218492996,0.350929612,0.244410624,0.428414702,10,1,4.06332724559989,0.330070086,test,train,train,train,train,train,train,train,train,train
GCA_003243455.1,0.383868949,0.196631681,0.196414616,0.350929612,0.213907808,0.313192874,10,1,4.06332724559989,0.203866818,test,train,train,train,train,train,train,train,train,train
GCA_003263855.1,0.251498578,0.194316741,0.194523947,0.267527644,0.372279448,0.572087049,10,5,4.057080848,0.277258872,train,train,train,train,test,train,train,train,train,train
GCA_003295855.1,0.380958397,0.196326054,0.196292246,0.350929612,0.220408239,0.064045869,10,1,4.06332724559989,0.154032707,test,train,train,train,train,train,train,train,train,train
GCA_003444215.1,0.061630869,0.10778346,0.107840868,0.341808957,0.391846929,0.48336044,10,3,4.014557272,0.787667251,train,train,test,train,train,train,train,train,train,train
GCA_003444495.1,0.251498578,0.088195454,0.088202375,0.267527644,0.245387591,0.340346813,10,5,4.057080848,1.004561131,train,train,train,train,test,train,train,train,train,train
GCA_003476345.1,0.383868949,0.386038984,0.385896437,0.350929612,0.375303432,0.987625599,10,1,4.06332724559989,0.693147181,test,train,train,train,train,train,train,train,train,train
GCA_003488685.1,0.383868949,0.063310855,0.063342762,0.350929612,0.120860579,0.208726376,10,1,4.06332724559989,0.11552453,test,train,train,train,train,train,train,train,train,train
GCA_003501125.1,0.061630869,0.111036198,0.110935498,0.341808957,0.406210802,0.487691998,10,3,4.014557272,0.57762265,train,train,test,train,train,train,train,train,train,train
GCA_003509565.1,0.383868949,0.159434002,0.159358833,0.350929612,0.38899275,0.502024531,10,1,4.06332724559989,0.300063715,test,train,train,train,train,train,train,train,train,train
GCA_003510485.1,0.383868949,0.076102877,0.076116487,0.350929612,0.179150361,0.044215839,10,1,4.06332724559989,0.481352209,test,train,train,train,train,train,train,train,train,train
GCA_003516265.1,0.383868949,0.290451449,0.29042074,0.350929612,0.290364914,0.440926999,10,1,4.06332724559989,0.4200892,test,train,train,train,train,train,train,train,train,train
GCA_003517665.1,0.251498578,0.079244991,0.079311088,0.267527644,0.232216665,0.409644514,10,5,4.057080848,1.004561131,train,train,train,train,test,train,train,train,train,train
GCA_003530895.1,0.383868949,0.226758446,0.226792913,0.350929612,0.24628379,0.176438525,10,1,4.06332724559989,0.182407153,test,train,train,train,train,train,train,train,train,train
GCA_003543295.1,0.383868949,0.246154472,0.245884065,0.350929612,0.248900897,0.095706671,10,1,4.06332724559989,0.057762265,test,train,train,train,train,train,train,train,train,train
GCA_003696405.1,0.350853375,0.081208065,0.081192346,0.267527644,0.172009207,0.181584492,10,5,4.057080848,0.300063715,train,train,train,train,test,train,train,train,train,train
GCA_003722315.1,0.350853375,0.084601652,0.084608562,0.267527644,0.253478912,0.467409313,10,5,4.057080848,0.815467271,train,train,train,train,test,train,train,train,train,train
GCA_003978055.1,0.380958397,0.231549908,0.231566225,0.350929612,0.218229885,0.671860993,10,1,4.06332724559989,0.796720897,test,train,train,train,train,train,train,train,train,train
GCA_004346755.1,0.251498578,0.183845064,0.183809913,0.267527644,0.380133146,0.479603142,10,5,4.057080848,2.475525645,train,train,train,train,test,train,train,train,train,train
GCA_005287935.1,0.251498578,1.378287664,1.37830022,0.267527644,0.641500616,0.476076305,10,5,4.057080848,2.888113252,train,train,train,train,test,train,train,train,train,train
GCA_007096105.1,0.383430404,0.147300902,0.147121276,0.34389792,0.192015963,1.019162536,10,4,4.014557272,0.01,train,train,train,test,train,train,train,train,train,train
GCA_007096525.1,0.383430404,0.147848331,0.147773671,0.34389792,0.1923098,1.02996099,10,4,4.014557272,0.01,train,train,train,test,train,train,train,train,train,train
GCA_007096585.1,0.383430404,0.130777168,0.130710966,0.34389792,0.180754228,1.07275784,10,4,4.014557272,0.01,train,train,train,test,train,train,train,train,train,train
GCA_008014735.1,0.251498578,5.744389167,5.742727262,0.267527644,2.2033445,0.144402474,10,5,4.057080848,1.124022455,train,train,train,train,test,train,train,train,train,train
GCA_009646795.1,0.251498578,1.260624862,1.259809488,0.267527644,0.704754588,0.4710446,10,5,4.057080848,1.611970187,train,train,train,train,test,train,train,train,train,train
GCA_009903015.1,0.383868949,0.327637748,0.327605247,0.350929612,0.310130823,0.136065528,10,1,4.06332724559989,0.415058192,test,train,train,train,train,train,train,train,train,train
GCA_009995765.1,0.383430404,0.142421421,0.142262829,0.34389792,0.18859127,1.082224965,10,4,4.014557272,0.01,train,train,train,test,train,train,train,train,train,train
GCA_009995775.1,0.383430404,0.142078125,0.141919121,0.34389792,0.188390739,1.082584977,10,4,4.014557272,0.01,train,train,train,test,train,train,train,train,train,train
GCA_012516215.1,0.061630869,0.027482702,0.027489696,0.341808957,0.142984173,0.460947722,10,3,4.014557272,0.204468195,train,train,test,train,train,train,train,train,train,train
GCA_012840045.1,0.251498578,0.030838426,0.030843142,0.267527644,0.124852254,0.153546244,10,5,4.057080848,0.038810033,train,train,train,train,test,train,train,train,train,train
GCA_012842225.1,0.251498578,0.109265007,0.109136412,0.267527644,0.164212895,0.242581114,10,5,4.057080848,0.208152306,train,train,train,train,test,train,train,train,train,train
GCA_012842385.1,0.350853375,0.07081318,0.070726417,0.267527644,0.232740245,0.369975388,10,5,4.057080848,0.815467271,train,train,train,train,test,train,train,train,train,train
GCA_013178385.1,0.251498578,0.082548895,0.082542088,0.267527644,0.194696433,0.218672693,10,5,4.057080848,0.068969869,train,train,train,train,test,train,train,train,train,train
GCA_013327815.1,0.383868949,0.594574961,0.594822947,0.350929612,0.497483258,0.297298372,10,1,4.06332724559989,1.575334501,test,train,train,train,train,train,train,train,train,train
GCA_013823925.1,0.380958397,0.280928256,0.280990425,0.350929612,0.265126655,0.353033066,10,1,4.06332724559989,0.141458608,test,train,train,train,train,train,train,train,train,train
GCA_014194525.1,0.383868949,0.504054886,0.504547373,0.350929612,0.392307759,0.266238928,10,1,4.06332724559989,0.393358,test,train,train,train,train,train,train,train,train,train
GCA_014194555.1,0.383868949,0.507568017,0.507800132,0.350929612,0.393711316,0.262886316,10,1,4.06332724559989,0.393358,test,train,train,train,train,train,train,train,train,train
GCA_014896475.1,0.251498578,0.079475338,0.079457463,0.267527644,0.280880962,0.431426495,10,5,4.057080848,0.653912434,train,train,train,train,test,train,train,train,train,train
GCA_014896575.1,0.350853375,0.035764445,0.035737341,0.267527644,0.154760415,0.23125802,10,5,4.057080848,0.330070086,train,train,train,train,test,train,train,train,train,train
GCA_015235375.1,0.251498578,0.541724136,0.541732849,0.267527644,0.437993595,0.549707472,10,5,4.057080848,2.310490602,train,train,train,train,test,train,train,train,train,train
GCA_015487155.1,0.081897444,0.069383458,0.069413285,0.341808957,0.212493378,0.478098899,10,3,4.014557272,0.23104906,train,train,test,train,train,train,train,train,train,train
GCA_016651195.1,0.251498578,0.760142986,0.760363296,0.267527644,0.406464875,0.450819582,10,5,4.057080848,1.485315387,train,train,train,train,test,train,train,train,train,train
GCA_016767155.1,0.671095743,0.53913145,0.539036613,0.420422244,0.489262815,1.012137055,10,7,4.14749238627446,0.407733636,train,train,train,train,train,train,test,train,train,train
GCA_017312465.1,0.251498578,0.38938858,0.389321041,0.267527644,0.359452819,0.279869318,10,5,4.057080848,0.034657359,train,train,train,train,test,train,train,train,train,train
GCA_017388265.1,0.251498578,0.277812346,0.277692072,0.267527644,0.299922249,0.427354813,10,5,4.057080848,0.301368339,train,train,train,train,test,train,train,train,train,train
GCA_017831985.1,0.383868949,0.18108988,0.181229163,0.350929612,0.209567915,0.149762005,10,1,4.06332724559989,0.034657359,test,train,train,train,train,train,train,train,train,train
GCA_018432665.1,0.061630869,0.049642644,0.049628558,0.341808957,0.138391769,0.43548733,10,3,4.014557272,0.04200892,train,train,test,train,train,train,train,train,train,train
GCA_018457135.1,0.383430404,0.049430051,0.049416621,0.34389792,0.123711208,0.936497986,10,4,4.014557272,0.032125,train,train,train,test,train,train,train,train,train,train
GCA_018853935.1,0.380958397,0.038172361,0.038221726,0.350929612,0.097157538,-0.105687946,10,1,4.06332724559989,0.123997707,test,train,train,train,train,train,train,train,train,train
GCA_019056595.1,0.380958397,0.266762894,0.266872206,0.350929612,0.254184646,0.455965579,10,1,4.06332724559989,0.300063715,test,train,train,train,train,train,train,train,train,train
GCA_020424345.1,0.251498578,0.212763008,0.212811145,0.267527644,0.183043827,0.080577865,10,5,4.057080848,0.066014017,train,train,train,train,test,train,train,train,train,train
GCA_020723585.1,0.192411916,0.281732342,0.281755693,0.267527644,0.540265555,0.30725044,10,5,4.057080848,0.545785182,train,train,train,train,test,train,train,train,train,train
GCA_021767805.1,0.380958397,0.0557769,0.055791433,0.350929612,0.157770289,0.408194661,10,1,4.06332724559989,0.082321518,test,train,train,train,train,train,train,train,train,train
GCA_021805645.1,0.380958397,0.052814338,0.052844632,0.350929612,0.112162024,0.062486749,10,1,4.06332724559989,0.123997707,test,train,train,train,train,train,train,train,train,train
GCA_021843535.1,0.383868949,0.181927993,0.182023944,0.350929612,0.227006923,-0.031234002,10,1,4.06332724559989,0.090136174,test,train,train,train,train,train,train,train,train,train
GCA_022448615.1,0.383430404,0.054190271,0.054243235,0.34389792,0.125469376,0.939466119,10,4,4.014557272,0.032125,train,train,train,test,train,train,train,train,train,train
GCA_022773385.1,0.251498578,0.187737708,0.187875313,0.267527644,0.234503448,0.451923102,10,5,4.057080848,0.301368339,train,train,train,train,test,train,train,train,train,train
GCA_022837625.1,0.061630869,0.05781282,0.057864009,0.341808957,0.144675495,0.436772913,10,3,4.014557272,0.04200892,train,train,test,train,train,train,train,train,train,train
GCA_023255675.1,0.061630869,0.068709013,0.068700535,0.341808957,0.252892937,0.483618885,10,3,4.014557272,0.086427329,train,train,test,train,train,train,train,train,train,train
GCA_023356555.1,0.383430404,0.062053897,0.062073252,0.34389792,0.128624098,0.919570446,10,4,4.014557272,0.032125,train,train,train,test,train,train,train,train,train,train
GCA_023389335.1,0.350853375,0.203511022,0.203639221,0.267527644,0.148212553,0.481135547,10,5,4.057080848,0.047803254,train,train,train,train,test,train,train,train,train,train
GCA_023391965.1,0.350853375,0.271246069,0.271375452,0.267527644,0.229590224,0.505931675,10,5,4.057080848,0.066014017,train,train,train,train,test,train,train,train,train,train
GCA_023395995.1,0.409685212,0.254582326,0.254646282,0.354442299,0.277098644,0.741579711,10,6,4.172196966,0.693147181,train,train,train,train,train,test,train,train,train,train
GCA_023512095.1,0.251498578,0.145022539,0.145003803,0.267527644,0.285201706,0.161930174,10,5,4.057080848,0.15068417,train,train,train,train,test,train,train,train,train,train
GCA_024233705.1,0.061630869,0.051185561,0.051167613,0.341808957,0.139407482,0.448700607,10,3,4.014557272,0.04200892,train,train,test,train,train,train,train,train,train,train
GCA_025541755.1,0.251498578,2.516095208,2.517788524,0.267527644,1.053605076,0.350707412,10,5,4.057080848,2.35,train,train,train,train,test,train,train,train,train,train
GCA_025998615.1,0.383868949,0.123165161,0.123261226,0.350929612,0.292916579,0.239663199,10,1,4.06332724559989,0.077881706,test,train,train,train,train,train,train,train,train,train
GCA_026003675.1,0.251498578,0.057065714,0.057001298,0.267527644,0.169340512,0.18007277,10,5,4.057080848,0.138629436,train,train,train,train,test,train,train,train,train,train
GCA_026003815.1,0.350853375,0.066397695,0.066401677,0.267527644,0.155436989,0.138874367,10,5,4.057080848,0.300063715,train,train,train,train,test,train,train,train,train,train
GCA_026169445.1,0.251498578,0.765729328,0.765316529,0.267527644,0.805410808,0.714262784,10,5,4.057080848,1.28360589,train,train,train,train,test,train,train,train,train,train
GCA_026988755.1,0.383868949,0.060631632,0.060605682,0.350929612,0.213386539,0.204552054,10,1,4.06332724559989,0.203268968,test,train,train,train,train,train,train,train,train,train
GCA_027063905.1,0.383868949,0.215038839,0.214936023,0.350929612,0.513870624,0.810343623,10,1,4.06332724559989,0.320901472,test,train,train,train,train,train,train,train,train,train
GCA_027067365.1,0.383868949,0.162470786,0.162398009,0.350929612,0.424721132,0.639290154,10,1,4.06332724559989,0.206909606,test,train,train,train,train,train,train,train,train,train
GCA_027310195.1,0.380958397,0.065582884,0.065615326,0.350929612,0.15887314,0.151102364,10,1,4.06332724559989,0.279494831,test,train,train,train,train,train,train,train,train,train
GCA_027318875.1,0.383868949,0.184290952,0.184386886,0.350929612,0.225062271,0.008032231,10,1,4.06332724559989,0.090136174,test,train,train,train,train,train,train,train,train,train
GCA_027365625.1,0.380958397,0.065473447,0.065451137,0.350929612,0.121422118,0.100355513,10,1,4.06332724559989,0.009412645,test,train,train,train,train,train,train,train,train,train
GCA_027416865.1,0.383868949,0.1538741,0.153636666,0.350929612,0.201832239,0.024074741,10,1,4.06332724559989,0.090136174,test,train,train,train,train,train,train,train,train,train
GCA_027416955.1,0.383868949,0.138841233,0.138718216,0.350929612,0.193096062,0.006451427,10,1,4.06332724559989,0.090136174,test,train,train,train,train,train,train,train,train,train
GCA_027416975.1,0.383868949,0.155339021,0.155219272,0.350929612,0.206721263,0.009401761,10,1,4.06332724559989,0.090136174,test,train,train,train,train,train,train,train,train,train
GCA_028116025.1,0.409685212,0.273029322,0.273150686,0.354442299,0.406602036,0.726655066,10,6,4.172196966,0.597540673,train,train,train,train,train,test,train,train,train,train
GCA_028275545.1,0.350853375,0.283645451,0.283576967,0.267527644,0.546668818,0.404027492,10,5,4.057080848,1.004561131,train,train,train,train,test,train,train,train,train,train
GCA_028276485.1,0.350853375,0.266685304,0.266564312,0.267527644,0.524996894,0.383891553,10,5,4.057080848,1.004561131,train,train,train,train,test,train,train,train,train,train
GCA_028982485.1,0.383430404,0.059262946,0.059337173,0.34389792,0.127572379,0.87746352,10,4,4.014557272,0.032125,train,train,train,test,train,train,train,train,train,train
GCA_028982645.1,0.383430404,0.059134451,0.059130647,0.34389792,0.127430917,0.888823211,10,4,4.014557272,0.032125,train,train,train,test,train,train,train,train,train,train
GCA_029553085.1,0.061630869,0.036781288,0.036828588,0.341808957,0.157494623,0.430558413,10,3,4.014557272,0.204468195,train,train,test,train,train,train,train,train,train,train
GCA_029623615.1,0.363464224,1.080147461,1.080341616,0.350929612,0.726370296,0.241811708,10,1,4.06332724559989,2.100446002,test,train,train,train,train,train,train,train,train,train
GCA_029846465.1,0.29134121,0.579603816,0.579409162,0.312518619,0.462395351,0.909580588,10,8,4.051532012,1.474781235,train,train,train,train,train,train,train,test,train,train
GCA_029894225.1,0.383868949,0.275484355,0.27530968,0.350929612,0.284469189,0.29536888,10,1,4.06332724559989,0.165035043,test,train,train,train,train,train,train,train,train,train
GCA_029982995.1,0.251498578,0.084625537,0.084512623,0.267527644,0.240613506,0.481017083,10,5,4.057080848,1.004561131,train,train,train,train,test,train,train,train,train,train
GCA_030153695.1,0.251498578,0.072642619,0.072651606,0.267527644,0.193005405,0.25353387,10,5,4.057080848,0.030414532,train,train,train,train,test,train,train,train,train,train
GCA_030156425.1,0.081897444,0.070068518,0.070116146,0.341808957,0.235577782,0.460129529,10,3,4.014557272,0.402992547,train,train,test,train,train,train,train,train,train,train
GCA_030156495.1,0.061630869,0.161335001,0.161140807,0.341808957,0.281679651,0.489599913,10,3,4.014557272,0.04135723,train,train,test,train,train,train,train,train,train,train
GCA_030156705.1,0.061630869,0.086582478,0.086556841,0.341808957,0.344439982,0.492531598,10,3,4.014557272,0.787667251,train,train,test,train,train,train,train,train,train,train
GCA_030157105.1,0.081897444,0.111320392,0.111402633,0.341808957,0.372891182,0.505373478,10,3,4.014557272,1.155245301,train,train,test,train,train,train,train,train,train,train
GCA_030263335.1,0.380958397,0.048491794,0.048558761,0.350929612,0.09564674,0.290146679,10,1,4.06332724559989,0.12602676,test,train,train,train,train,train,train,train,train,train
GCA_030291175.1,0.350853375,0.712844079,0.713334548,0.267527644,0.384615899,0.634641349,10,5,4.057080848,0.815467271,train,train,train,train,test,train,train,train,train,train
GCA_030445545.1,0.251498578,0.070259289,0.070195674,0.267527644,0.189947704,0.195558324,10,5,4.057080848,0.030414532,train,train,train,train,test,train,train,train,train,train
GCA_030445675.1,0.251498578,0.063187727,0.063191465,0.267527644,0.179472639,0.214126647,10,5,4.057080848,0.030414532,train,train,train,train,test,train,train,train,train,train
GCA_030445825.1,0.061630869,0.069827706,0.069832174,0.341808957,0.198290612,0.469768971,10,3,4.014557272,0.041831453,train,train,test,train,train,train,train,train,train,train
GCA_030528265.1,0.380958397,1.036545014,1.036404277,0.350929612,0.740792268,0.495606929,10,1,4.06332724559989,0.084222015,test,train,train,train,train,train,train,train,train,train
GCA_030550415.1,0.251498578,0.216178817,0.216054853,0.267527644,0.41350293,0.393601745,10,5,4.057080848,0.647801103,train,train,train,train,test,train,train,train,train,train
GCA_030599285.1,0.380958397,0.453313929,0.45324474,0.350929612,0.269923563,0.394383222,10,1,4.06332724559989,0.4200892,test,train,train,train,train,train,train,train,train,train
GCA_030849005.1,0.383430404,0.11927964,0.119154779,0.34389792,0.145016513,0.908577025,10,4,4.014557272,0.03958579,train,train,train,test,train,train,train,train,train,train
GCA_900010385.1,0.251498578,0.4329765,0.433000488,0.267527644,0.380686477,0.622615099,10,5,4.057080848,1.824071528,train,train,train,train,test,train,train,train,train,train
GCA_900088665.2,0.383868949,0.113457895,0.113309333,0.350929612,0.184986687,-0.34897989,10,1,4.06332724559989,0.099021026,test,train,train,train,train,train,train,train,train,train
GCA_900129645.1,0.061630869,0.043467991,0.043517801,0.341808957,0.165585668,0.463188857,10,3,4.014557272,0.204468195,train,train,test,train,train,train,train,train,train,train
GCA_900142555.1,0.251498578,0.257872935,0.25814576,0.267527644,0.389104874,0.640672982,10,5,4.057080848,1.034548031,train,train,train,train,test,train,train,train,train,train
GCA_900456485.1,0.380958397,0.554301894,0.554074485,0.350929612,0.349105479,0.443258137,10,1,4.06332724559989,2.390162692,test,train,train,train,train,train,train,train,train,train
