genome_id,genbank_accession,label,cv_0,cv_1,cv_2,cv_3,cv_4,test
GCA_001441615.1,GCA_001441615,0.6020708485542952,train,train,train,valid,train,-
GCA_001507545.1,GCA_001507545,0.8636484588975986,train,train,train,valid,train,-
GCA_001507595.1,GCA_001507595,1.009774796063689,train,train,train,valid,train,-
GCA_001518015.1,GCA_001518015,0.5740428487594899,train,train,train,valid,train,-
GCA_001565895.1,GCA_001565895,0.5440804525867846,train,train,train,valid,train,-
GCA_001573155.1,GCA_001573155,0.6020708485542952,train,valid,train,train,train,-
GCA_001577775.1,GCA_001577775,0.4393484860697474,-,-,-,-,-,test
GCA_001632745.1,GCA_001632745,0.3979573801038875,train,valid,train,train,train,-
GCA_001677435.1,GCA_001677435,0.3010517098452264,valid,train,train,train,train,-
GCA_001687335.1,GCA_001687335,0.3522018196594159,-,-,-,-,-,test
GCA_001701045.1,GCA_001701045,-0.1548399223480542,-,-,-,-,-,test
GCA_001752425.1,GCA_001752425,0.9030954156390384,train,valid,train,train,train,-
GCA_001854475.1,GCA_001854475,0.2430628648048065,train,train,train,valid,train,-
GCA_001857965.1,GCA_001857965,-0.3978314486210028,train,valid,train,train,train,-
GCA_001883995.1,GCA_001883995,0.1761202110560855,valid,train,train,train,train,-
GCA_001884185.1,GCA_001884185,-0.1248808345374318,valid,train,train,train,train,-
GCA_001885945.1,GCA_001885945,0.6283991486237853,train,train,valid,train,train,-
GCA_001886615.1,GCA_001886615,0.812920038045028,-,-,-,-,-,test
GCA_001908025.1,GCA_001908025,0.1761202110560855,train,train,train,train,valid,-
GCA_001998325.1,GCA_001998325,0.3979573801038875,train,train,valid,train,train,-
GCA_001999905.1,GCA_001999905,0.3010517098452264,train,train,valid,train,train,-
GCA_002005305.1,GCA_002005305,0.5440804525867846,train,train,valid,train,train,-
GCA_002087085.1,GCA_002087085,0.2430628648048065,-,-,-,-,-,test
GCA_002153915.1,GCA_002153915,1.36879435016141,train,train,train,train,valid,-
GCA_002155145.1,GCA_002155145,1.1760941543425762,-,-,-,-,-,test
GCA_002156705.1,GCA_002156705,1.3616791262158228,train,train,train,train,valid,-
GCA_002197665.1,GCA_002197665,0.0969447551769404,-,-,-,-,-,test
GCA_002201795.1,GCA_002201795,0.5118967236804309,valid,train,train,train,train,-
GCA_002207765.1,GCA_002207765,0.3909527609917945,train,train,train,valid,train,-
GCA_002216005.1,GCA_002216005,0.3424424210318369,train,train,train,train,valid,-
GCA_002238045.1,GCA_002238045,0.1761202110560855,train,valid,train,train,train,-
GCA_002262875.1,GCA_002262875,0.6020708485542952,train,train,valid,train,train,-
GCA_002263495.1,GCA_002263495,0.812920038045028,train,train,valid,train,train,-
GCA_002269385.1,GCA_002269385,0.1761202110560855,train,valid,train,train,train,-
GCA_002287065.1,GCA_002287065,0.4771357309611232,train,train,train,valid,train,-
GCA_002307495.1,GCA_002307495,0.6989786901387991,train,valid,train,train,train,-
GCA_002573965.1,GCA_002573965,0.0792174357465669,train,train,train,valid,train,-
GCA_002744755.1,GCA_002744755,0.5440804525867846,train,valid,train,train,train,-
GCA_002833365.1,GCA_002833365,0.9030954156390384,train,valid,train,train,train,-
GCA_002844375.1,GCA_002844375,0.3979573801038875,train,train,train,valid,train,-
GCA_002844555.1,GCA_002844555,0.6532221646565988,train,train,train,valid,train,-
GCA_002849855.1,GCA_002849855,0.5118967236804309,train,train,valid,train,train,-
GCA_002866825.1,GCA_002866825,0.3979573801038875,train,train,valid,train,train,-
GCA_002868715.1,GCA_002868715,0.3979573801038875,train,train,valid,train,train,-
GCA_002895565.1,GCA_002895565,-0.8236193077567296,train,train,valid,train,train,-
GCA_002902145.1,GCA_002902145,1.0211934351881653,valid,train,train,train,train,-
GCA_002916695.1,GCA_002916695,0.7958869660001966,valid,train,train,train,train,-
GCA_002952775.1,GCA_002952775,1.36879435016141,train,train,train,train,valid,-
GCA_002954455.1,GCA_002954455,0.3424424210318369,train,train,valid,train,train,-
GCA_003003005.1,GCA_003003005,0.0969447551769404,train,train,valid,train,train,-
GCA_003003215.1,GCA_003003215,0.9030954156390384,train,train,train,valid,train,-
GCA_003012795.1,GCA_003012795,0.3010517098452264,-,-,-,-,-,test
GCA_003034985.1,GCA_003034985,-0.5227340045751474,train,train,train,valid,train,-
GCA_003044065.1,GCA_003044065,1.1903345000611365,train,train,valid,train,train,-
GCA_003054055.1,GCA_003054055,0.1761202110560855,train,train,train,train,valid,-
GCA_003129485.1,GCA_003129485,0.3979573801038875,train,valid,train,train,train,-
GCA_003130585.1,GCA_003130585,0.3010517098452264,-,-,-,-,-,test
GCA_003148665.1,GCA_003148665,0.2430628648048065,train,valid,train,train,train,-
GCA_003185655.1,GCA_003185655,0.5440804525867846,train,train,valid,train,train,-
GCA_003201285.1,GCA_003201285,-1.5214335044061569,train,valid,train,train,train,-
GCA_003226345.1,GCA_003226345,0.9030954156390384,train,train,valid,train,train,-
GCA_003254055.1,GCA_003254055,0.7403705856857679,train,train,valid,train,train,-
GCA_003260125.1,GCA_003260125,0.5440804525867846,train,train,valid,train,train,-
GCA_003336425.1,GCA_003336425,0.3010517098452264,train,train,valid,train,train,-
GCA_003340555.1,GCA_003340555,0.5440804525867846,train,train,train,valid,train,-
GCA_003344785.1,GCA_003344785,0.5440804525867846,train,train,train,valid,train,-
GCA_003353425.1,GCA_003353425,0.5440804525867846,train,valid,train,train,train,-
GCA_003355475.1,GCA_003355475,0.9030954156390384,-,-,-,-,-,test
GCA_003363485.1,GCA_003363485,0.6020708485542952,train,train,train,valid,train,-
GCA_003367235.1,GCA_003367235,4.342727686266485e-05,-,-,-,-,-,test
GCA_003402975.1,GCA_003402975,0.3979573801038875,train,train,train,valid,train,-
GCA_003457605.1,GCA_003457605,0.3979573801038875,train,train,valid,train,train,-
GCA_003544875.1,GCA_003544875,0.5740428487594899,train,train,valid,train,train,-
GCA_003600245.1,GCA_003600245,-0.3009431454523322,train,train,valid,train,train,-
GCA_003605475.1,GCA_003605475,0.1761202110560855,-,-,-,-,-,test
GCA_003605575.1,GCA_003605575,1.397941745846491,train,train,train,train,valid,-
GCA_003610195.1,GCA_003610195,1.3756654425653805,train,train,train,train,valid,-
GCA_003660165.1,GCA_003660165,-0.5227340045751474,-,-,-,-,-,test
GCA_003675895.1,GCA_003675895,0.3979573801038875,train,train,valid,train,train,-
GCA_003696285.1,GCA_003696285,0.1761202110560855,train,valid,train,train,train,-
GCA_003732545.1,GCA_003732545,1.2174865762936995,train,train,train,train,valid,-
GCA_003788635.1,GCA_003788635,1.1760941543425762,train,train,train,train,valid,-
GCA_003797185.1,GCA_003797185,0.1761202110560855,train,train,valid,train,train,-
GCA_003987015.1,GCA_003987015,0.5118967236804309,train,train,train,valid,train,-
GCA_003991565.1,GCA_003991565,-0.045709238298873,train,train,valid,train,train,-
GCA_004004515.1,GCA_004004515,0.1761202110560855,-,-,-,-,-,test
GCA_004005565.1,GCA_004005565,0.4771357309611232,train,train,valid,train,train,-
GCA_004005845.1,GCA_004005845,0.3979573801038875,train,train,train,valid,train,-
GCA_004115975.1,GCA_004115975,-0.4558078892349674,train,valid,train,train,train,-
GCA_004118325.1,GCA_004118325,1.397941745846491,-,-,-,-,-,test
GCA_004145795.1,GCA_004145795,1.079184865153228,train,train,train,train,valid,-
GCA_004310395.1,GCA_004310395,0.3522018196594159,-,-,-,-,-,test
GCA_004329705.1,GCA_004329705,0.5440804525867846,-,-,-,-,-,test
GCA_004341725.1,GCA_004341725,0.2430628648048065,-,-,-,-,-,test
GCA_004342005.1,GCA_004342005,0.1761202110560855,train,valid,train,train,train,-
GCA_004364635.1,GCA_004364635,1.2027634102340807,train,train,train,valid,train,-
GCA_004766045.1,GCA_004766045,-1.3001622741327543,train,train,valid,train,train,-
GCA_004799685.1,GCA_004799685,1.2405517442207257,train,train,train,train,valid,-
GCA_005518135.1,GCA_005518135,0.5440804525867846,train,train,train,valid,train,-
GCA_005771405.1,GCA_005771405,0.5440804525867846,train,train,train,valid,train,-
GCA_005884405.1,GCA_005884405,0.1761202110560855,-,-,-,-,-,test
GCA_005887615.1,GCA_005887615,0.1761202110560855,train,train,train,valid,train,-
GCA_005937185.1,GCA_005937185,0.3979573801038875,train,valid,train,train,train,-
GCA_006363815.1,GCA_006363815,-0.3009431454523322,train,train,valid,train,train,-
GCA_006717075.1,GCA_006717075,1.1760941543425762,train,train,valid,train,train,-
GCA_007556755.1,GCA_007556755,-0.6987529113637886,train,train,train,train,valid,-
GCA_007827295.1,GCA_007827295,-0.935167780261426,train,train,valid,train,train,-
GCA_007830235.1,GCA_007830235,0.812920038045028,train,train,train,valid,train,-
GCA_007859755.1,GCA_007859755,0.4869059586772362,-,-,-,-,-,test
GCA_007990975.1,GCA_007990975,-0.8236193077567296,train,train,valid,train,train,-
GCA_007994985.1,GCA_007994985,0.3979573801038875,train,train,train,valid,train,-
GCA_007997285.1,GCA_007997285,-0.4558078892349674,train,valid,train,train,train,-
GCA_007997295.1,GCA_007997295,-0.3978314486210028,train,valid,train,train,train,-
GCA_007997385.1,GCA_007997385,0.3522018196594159,train,valid,train,train,train,-
GCA_008017445.1,GCA_008017445,4.342727686266485e-05,-,-,-,-,-,test
GCA_008086205.1,GCA_008086205,-0.4558078892349674,train,valid,train,train,train,-
GCA_008329945.1,GCA_008329945,0.3075174312031314,valid,train,train,train,train,-
GCA_009183655.1,GCA_009183655,0.3979573801038875,train,valid,train,train,train,-
GCA_009392895.1,GCA_009392895,1.2182754808743408,train,train,train,train,valid,-
GCA_009649735.1,GCA_009649735,1.0211934351881653,train,train,valid,train,train,-
GCA_009711525.1,GCA_009711525,0.3979573801038875,train,train,valid,train,train,-
GCA_009728145.1,GCA_009728145,0.8750670539461884,train,train,train,train,valid,-
GCA_009762275.1,GCA_009762275,1.1760941543425762,train,train,train,train,valid,-
GCA_009762325.1,GCA_009762325,0.3979573801038875,train,train,train,valid,train,-
GCA_009858245.1,GCA_009858245,4.342727686266485e-05,train,train,train,valid,train,-
GCA_009930795.1,GCA_009930795,0.4771357309611232,-,-,-,-,-,test
GCA_010500915.1,GCA_010500915,0.9420130163594588,train,train,train,valid,train,-
GCA_010550695.1,GCA_010550695,0.6020708485542952,valid,train,train,train,train,-
GCA_010671595.1,GCA_010671595,0.4771357309611232,train,valid,train,train,train,-
GCA_010915725.1,GCA_010915725,0.0969447551769404,train,train,train,valid,train,-
GCA_011089875.1,GCA_011089875,0.6020708485542952,train,valid,train,train,train,-
GCA_012911495.1,GCA_012911495,-0.1248808345374318,train,valid,train,train,train,-
GCA_012932215.1,GCA_012932215,0.3979573801038875,train,train,train,valid,train,-
GCA_012979235.1,GCA_012979235,0.3522018196594159,valid,train,train,train,train,-
GCA_013328205.1,GCA_013328205,-0.1248808345374318,-,-,-,-,-,test
GCA_013375155.1,GCA_013375155,-0.1548399223480542,valid,train,train,train,train,-
GCA_013407835.1,GCA_013407835,0.3010517098452264,-,-,-,-,-,test
GCA_013408145.1,GCA_013408145,0.3010517098452264,-,-,-,-,-,test
GCA_013408415.1,GCA_013408415,-0.6018863082694975,-,-,-,-,-,test
GCA_014191505.1,GCA_014191505,0.4771357309611232,train,train,valid,train,train,-
GCA_014192055.1,GCA_014192055,0.9420130163594588,-,-,-,-,-,test
GCA_014192285.1,GCA_014192285,0.7958869660001966,-,-,-,-,-,test
GCA_014201735.1,GCA_014201735,0.7958869660001966,train,train,train,valid,train,-
GCA_014202575.1,GCA_014202575,0.322239974931152,train,train,valid,train,train,-
GCA_014203325.1,GCA_014203325,0.3979573801038875,train,train,valid,train,train,-
GCA_014203395.1,GCA_014203395,0.3979573801038875,train,train,valid,train,train,-
GCA_014203705.1,GCA_014203705,0.0969447551769404,train,valid,train,train,train,-
GCA_014204795.1,GCA_014204795,4.342727686266485e-05,train,train,valid,train,train,-
GCA_014230055.1,GCA_014230055,0.5118967236804309,train,train,train,train,valid,-
GCA_014637345.1,GCA_014637345,0.0969447551769404,train,train,valid,train,train,-
GCA_014640455.1,GCA_014640455,0.6283991486237853,train,train,train,train,valid,-
GCA_014640475.1,GCA_014640475,0.6020708485542952,train,valid,train,train,train,-
GCA_014642405.1,GCA_014642405,0.3979573801038875,-,-,-,-,-,test
GCA_014642675.1,GCA_014642675,0.7403705856857679,-,-,-,-,-,test
GCA_014643735.1,GCA_014643735,0.5440804525867846,train,train,train,valid,train,-
GCA_014644575.1,GCA_014644575,0.72016757560302,valid,train,train,train,train,-
GCA_014645015.1,GCA_014645015,0.8451042441768258,-,-,-,-,-,test
GCA_014645315.1,GCA_014645315,4.342727686266485e-05,-,-,-,-,-,test
GCA_014645735.1,GCA_014645735,0.4771357309611232,train,train,valid,train,train,-
GCA_014646295.1,GCA_014646295,0.3010517098452264,train,train,valid,train,train,-
GCA_014646875.1,GCA_014646875,1.2949091129042831,train,train,train,train,valid,-
GCA_014647095.1,GCA_014647095,1.3521844483047705,-,-,-,-,-,test
GCA_014647115.1,GCA_014647115,1.2900368385079966,train,train,train,train,valid,-
GCA_014647135.1,GCA_014647135,0.1761202110560855,train,train,valid,train,train,-
GCA_014647155.1,GCA_014647155,1.2900368385079966,train,train,train,train,valid,-
GCA_014647415.1,GCA_014647415,1.438831940081192,-,-,-,-,-,test
GCA_014647855.1,GCA_014647855,0.3979573801038875,train,train,valid,train,train,-
GCA_014651295.1,GCA_014651295,0.7403705856857679,train,valid,train,train,train,-
GCA_014651475.1,GCA_014651475,0.5440804525867846,train,valid,train,train,train,-
GCA_014651515.1,GCA_014651515,0.3522018196594159,train,valid,train,train,train,-
GCA_014652895.1,GCA_014652895,0.4771357309611232,valid,train,train,train,train,-
GCA_014653195.1,GCA_014653195,0.4771357309611232,train,train,train,valid,train,-
GCA_014905615.1,GCA_014905615,0.5118967236804309,train,train,train,valid,train,-
GCA_016861975.1,GCA_016861975,0.8512644654996883,valid,train,train,train,train,-
GCA_016863575.1,GCA_016863575,0.5440804525867846,valid,train,train,train,train,-
GCA_016908145.1,GCA_016908145,0.4149900512835219,train,train,valid,train,train,-
GCA_016908315.1,GCA_016908315,1.1760941543425762,train,train,train,train,valid,-
GCA_016908415.1,GCA_016908415,-0.9995659225206812,train,train,train,valid,train,-
GCA_016908975.1,GCA_016908975,0.1761202110560855,train,train,train,valid,train,-
GCA_016909075.1,GCA_016909075,0.8451042441768258,train,valid,train,train,train,-
GCA_016918545.1,GCA_016918545,0.0644954267927278,valid,train,train,train,train,-
GCA_016919005.1,GCA_016919005,0.3979573801038875,-,-,-,-,-,test
GCA_017873625.1,GCA_017873625,0.2949289330935672,train,train,valid,train,train,-
GCA_017873755.1,GCA_017873755,0.8451042441768258,valid,train,train,train,train,-
GCA_017874235.1,GCA_017874235,1.3257229094764558,train,train,train,train,valid,-
GCA_017874715.1,GCA_017874715,0.0969447551769404,train,valid,train,train,train,-
GCA_018156225.1,GCA_018156225,0.3979573801038875,valid,train,train,train,train,-
GCA_018326245.1,GCA_018326245,4.342727686266485e-05,valid,train,train,train,train,-
GCA_018500185.1,GCA_018500185,0.1761202110560855,train,train,valid,train,train,-
GCA_019599515.1,GCA_019599515,1.397941745846491,-,-,-,-,-,test
GCA_021129175.1,GCA_021129175,-1.3001622741327543,-,-,-,-,-,test
GCA_021129195.1,GCA_021129195,-1.3001622741327543,-,-,-,-,-,test
GCA_022760175.1,GCA_022760175,0.5440804525867846,train,valid,train,train,train,-
GCA_022788655.1,GCA_022788655,0.6020708485542952,train,train,train,valid,train,-
GCA_023008245.1,GCA_023008245,0.1761202110560855,train,valid,train,train,train,-
GCA_023156235.1,GCA_023156235,0.6532221646565988,train,train,train,valid,train,-
GCA_023227765.1,GCA_023227765,0.8893073062699235,valid,train,train,train,train,-
GCA_023349125.1,GCA_023349125,0.5118967236804309,train,train,valid,train,train,-
GCA_023555375.1,GCA_023555375,0.3990892801919204,-,-,-,-,-,test
GCA_024105735.1,GCA_024105735,0.53149169022153,train,valid,train,train,train,-
GCA_024171865.1,GCA_024171865,0.9542473349067602,train,train,valid,train,train,-
GCA_024648865.1,GCA_024648865,0.9542473349067602,train,train,valid,train,train,-
GCA_024648885.1,GCA_024648885,0.9542473349067602,train,train,valid,train,train,-
GCA_900089585.1,GCA_900089585,0.4771357309611232,valid,train,train,train,train,-
GCA_900095135.1,GCA_900095135,-0.1106422631110684,train,train,train,train,valid,-
GCA_900099655.1,GCA_900099655,0.7403705856857679,train,train,valid,train,train,-
GCA_900100355.1,GCA_900100355,0.3979573801038875,train,train,train,train,valid,-
GCA_900100655.1,GCA_900100655,1.2949091129042831,train,valid,train,train,train,-
GCA_900100875.1,GCA_900100875,1.2753136584852065,train,train,train,train,valid,-
GCA_900100955.1,GCA_900100955,0.7403705856857679,train,train,valid,train,train,-
GCA_900101095.1,GCA_900101095,1.2787558867072448,train,train,valid,train,train,-
GCA_900101105.1,GCA_900101105,0.2430628648048065,valid,train,train,train,train,-
GCA_900101165.1,GCA_900101165,0.2430628648048065,valid,train,train,train,train,-
GCA_900101175.1,GCA_900101175,0.2671952031459672,valid,train,train,train,train,-
GCA_900101385.1,GCA_900101385,0.4771357309611232,train,train,train,train,valid,-
GCA_900103185.1,GCA_900103185,0.812920038045028,train,train,train,valid,train,-
GCA_900103505.1,GCA_900103505,1.301032167130962,train,train,train,train,valid,-
GCA_900103695.1,GCA_900103695,0.7958869660001966,train,train,train,train,valid,-
GCA_900104065.1,GCA_900104065,1.2405517442207257,train,train,train,train,valid,-
GCA_900104245.1,GCA_900104245,0.3522018196594159,train,train,train,valid,train,-
GCA_900105445.1,GCA_900105445,0.3979573801038875,valid,train,train,train,train,-
GCA_900107205.1,GCA_900107205,1.2304514760441831,train,train,train,train,valid,-
GCA_900107595.1,GCA_900107595,0.8451042441768258,train,valid,train,train,train,-
GCA_900107665.1,GCA_900107665,1.2547921028214268,train,train,train,train,valid,-
GCA_900107725.1,GCA_900107725,0.3979573801038875,train,train,train,train,valid,-
GCA_900108095.1,GCA_900108095,1.2949091129042831,train,train,train,train,valid,-
GCA_900108115.1,GCA_900108115,-0.0705299838225105,valid,train,train,train,train,-
GCA_900108215.1,GCA_900108215,0.8750670539461884,-,-,-,-,-,test
GCA_900108365.1,GCA_900108365,0.2430628648048065,valid,train,train,train,train,-
GCA_900108395.1,GCA_900108395,0.0969447551769404,train,valid,train,train,train,-
GCA_900108565.1,GCA_900108565,0.5740428487594899,train,train,valid,train,train,-
GCA_900109185.1,GCA_900109185,-0.6987529113637886,train,train,train,valid,train,-
GCA_900110015.1,GCA_900110015,0.4771357309611232,train,train,train,train,valid,-
GCA_900110425.1,GCA_900110425,0.8451042441768258,train,train,train,valid,train,-
GCA_900110455.1,GCA_900110455,1.2617409244367923,train,train,train,train,valid,-
GCA_900110695.1,GCA_900110695,0.9542473349067602,train,train,train,train,valid,-
GCA_900111245.1,GCA_900111245,0.3010517098452264,train,valid,train,train,train,-
GCA_900111555.1,GCA_900111555,0.7781584885646907,train,train,train,valid,train,-
GCA_900112175.1,GCA_900112175,1.3222213627979569,train,train,train,train,valid,-
GCA_900112245.1,GCA_900112245,0.0969447551769404,train,valid,train,train,train,-
GCA_900112345.1,GCA_900112345,-0.90274269030658,-,-,-,-,-,test
GCA_900112545.1,GCA_900112545,0.3522018196594159,train,train,train,valid,train,-
GCA_900112605.1,GCA_900112605,1.3074981772896277,valid,train,train,train,train,-
GCA_900113135.1,GCA_900113135,0.4771357309611232,train,valid,train,train,train,-
GCA_900113245.1,GCA_900113245,1.3222213627979569,train,train,train,train,valid,-
GCA_900113335.1,GCA_900113335,0.0969447551769404,train,train,train,valid,train,-
GCA_900114235.1,GCA_900114235,0.1732154147148857,valid,train,train,train,train,-
GCA_900114435.1,GCA_900114435,1.178404221461089,-,-,-,-,-,test
GCA_900114445.1,GCA_900114445,0.9030954156390384,valid,train,train,train,train,-
GCA_900114455.1,GCA_900114455,1.3544945205431145,train,train,train,train,valid,-
GCA_900114775.1,GCA_900114775,0.3010517098452264,train,train,train,valid,train,-
GCA_900115185.1,GCA_900115185,0.3979573801038875,train,valid,train,train,train,-
GCA_900115785.1,GCA_900115785,1.3544945205431145,train,train,train,train,valid,-
GCA_900116205.1,GCA_900116205,1.1760941543425762,train,train,train,train,valid,-
GCA_900116405.1,GCA_900116405,0.72016757560302,-,-,-,-,-,test
GCA_900130045.1,GCA_900130045,0.5440804525867846,train,valid,train,train,train,-
GCA_900142005.1,GCA_900142005,0.3979573801038875,train,train,train,train,valid,-
GCA_900142275.1,GCA_900142275,0.2430628648048065,train,train,valid,train,train,-
GCA_900142415.1,GCA_900142415,0.3979573801038875,-,-,-,-,-,test
GCA_900142665.1,GCA_900142665,0.8451042441768258,train,train,train,valid,train,-
GCA_900149295.1,GCA_900149295,0.6020708485542952,train,train,valid,train,train,-
GCA_900156425.1,GCA_900156425,1.2949091129042831,valid,train,train,train,train,-
GCA_900156505.1,GCA_900156505,0.812920038045028,train,train,train,valid,train,-
GCA_900156735.1,GCA_900156735,-0.3466909870615211,valid,train,train,train,train,-
GCA_900162645.1,GCA_900162645,0.6020708485542952,train,train,valid,train,train,-
GCA_900167125.1,GCA_900167125,0.7403705856857679,valid,train,train,train,train,-
GCA_900182585.1,GCA_900182585,0.5051635498104121,valid,train,train,train,train,-
GCA_900185015.1,GCA_900185015,0.3979573801038875,train,train,train,valid,train,-
GCA_900188115.1,GCA_900188115,1.1760941543425762,train,train,valid,train,train,-
GCA_900188245.1,GCA_900188245,0.0969447551769404,train,train,valid,train,train,-
GCA_900215575.1,GCA_900215575,1.2552749178437257,train,train,valid,train,train,-
GCA_900215625.1,GCA_900215625,0.6989786901387991,train,train,train,train,valid,-
GCF_000400975.1,GCA_000400975,1.3521844483047705,train,train,train,train,valid,-
GCF_021233415.1,GCA_021233415,1.3577990134948543,train,train,train,train,valid,-
GCA_000255455.1,GCA_000255455,0.3979573801038875,train,valid,train,train,train,-
GCA_000258495.1,GCA_000258495,0.0969447551769404,-,-,-,-,-,test
GCA_000259215.1,GCA_000259215,1.1760941543425762,train,train,train,valid,train,-
GCA_000285915.1,GCA_000285915,0.7403705856857679,train,train,train,valid,train,-
GCA_000330705.1,GCA_000330705,1.079184865153228,valid,train,train,train,train,-
GCA_000341185.1,GCA_000341185,0.812920038045028,train,train,valid,train,train,-
GCA_000341205.1,GCA_000341205,0.812920038045028,train,train,valid,train,train,-
GCA_000365025.1,GCA_000365025,0.3522018196594159,train,train,train,valid,train,-
GCA_000374845.1,GCA_000374845,0.2430628648048065,valid,train,train,train,train,-
GCA_000378505.1,GCA_000378505,0.8750670539461884,-,-,-,-,-,test
GCA_000378765.1,GCA_000378765,0.9420130163594588,train,valid,train,train,train,-
GCA_000379085.1,GCA_000379085,1.397941745846491,-,-,-,-,-,test
GCA_000380485.1,GCA_000380485,0.6989786901387991,train,train,valid,train,train,-
GCA_000381085.1,GCA_000381085,0.1630532353129953,valid,train,train,train,train,-
GCA_000410875.1,GCA_000410875,0.1761202110560855,train,valid,train,train,train,-
GCA_000421765.1,GCA_000421765,-0.1248808345374318,train,valid,train,train,train,-
GCA_000421805.1,GCA_000421805,1.301032167130962,train,train,train,train,valid,-
GCA_000422445.1,GCA_000422445,0.0969447551769404,valid,train,train,train,train,-
GCA_000422785.1,GCA_000422785,1.1303369854792535,train,train,train,valid,train,-
GCA_000423205.1,GCA_000423205,0.6767027525703496,valid,train,train,train,train,-
GCA_000423645.1,GCA_000423645,0.72016757560302,train,train,train,valid,train,-
GCA_000424665.1,GCA_000424665,0.3010517098452264,train,valid,train,train,train,-
GCA_000425625.1,GCA_000425625,0.5740428487594899,train,valid,train,train,train,-
GCA_000426625.1,GCA_000426625,0.0969447551769404,valid,train,train,train,train,-
GCA_000426705.1,GCA_000426705,0.3075174312031314,train,train,train,valid,train,-
GCA_000427685.1,GCA_000427685,1.2405517442207257,train,train,train,train,valid,-
GCA_000429325.1,GCA_000429325,-0.9995659225206812,valid,train,train,train,train,-
GCA_000430745.1,GCA_000430745,1.1760941543425762,-,-,-,-,-,test
GCA_000430805.1,GCA_000430805,-0.4258529358492772,train,valid,train,train,train,-
GCA_000526155.1,GCA_000526155,0.3522018196594159,-,-,-,-,-,test
GCA_000686905.1,GCA_000686905,0.3979573801038875,-,-,-,-,-,test
GCA_000688515.1,GCA_000688515,0.1761202110560855,train,train,train,train,valid,-
GCA_000701505.1,GCA_000701505,-1.3001622741327543,-,-,-,-,-,test
GCA_000710615.1,GCA_000710615,1.1760941543425762,valid,train,train,train,train,-
GCA_000711225.1,GCA_000711225,0.2552966319043402,valid,train,train,train,train,-
GCA_000746075.1,GCA_000746075,-0.236497134532403,train,train,valid,train,train,-
